Symbol,LTP,%,High,Low,Open,Volume,Turnover,Date
TRADING,184.32,,184.32,184.32,184.32,0,,01-Jan-15
TRADING,185.08,,185.08,185.08,185.08,0,,05-Jan-15
TRADING,183.05,,183.05,183.05,183.05,0,,13-Jan-15
TRADING,190.23,,190.23,190.23,190.23,0,,16-Feb-15
TRADING,191.08,,191.08,191.08,191.08,0,,18-Feb-15
TRADING,195.7,,195.7,195.7,195.7,0,,02-Mar-15
TRADING,196.93,,196.93,196.93,196.93,0,,04-Mar-15
TRADING,197,,197,197,197,0,,30-Mar-15
TRADING,193.63,,193.63,193.63,193.63,0,,02-Apr-15
TRADING,196.93,,196.93,196.93,196.93,0,,05-Apr-15
TRADING,200.3,,200.3,200.3,200.3,0,,06-Apr-15
TRADING,200.81,,200.81,200.81,200.81,0,,07-Apr-15
TRADING,204.27,,204.27,204.27,204.27,0,,08-Apr-15
TRADING,200.39,,200.39,200.39,200.39,0,,09-Apr-15
TRADING,207.23,,207.23,207.23,207.23,0,,12-Apr-15
TRADING,206.74,,206.74,206.74,206.74,0,,23-Apr-15
TRADING,207.96,,207.96,207.96,207.96,0,,25-May-15
TRADING,216.91,,216.91,216.91,216.91,0,,02-Jun-15
TRADING,229.83,,229.83,229.83,229.83,0,,04-Jun-15
TRADING,226.45,,226.45,226.45,226.45,0,,07-Jun-15
TRADING,222.48,,222.48,222.48,222.48,0,,10-Jun-15
TRADING,220.54,,220.54,220.54,220.54,0,,11-Jun-15
TRADING,218.85,,218.85,218.85,218.85,0,,16-Jun-15
TRADING,220.54,,220.54,220.54,220.54,0,,17-Jun-15
TRADING,216.74,,216.74,216.74,216.74,0,,30-Jun-15
TRADING,213.11,,213.11,213.11,213.11,0,,05-Jul-15
TRADING,213.11,,213.11,213.11,213.11,0,,08-Jul-15
TRADING,209.48,,209.48,209.48,209.48,0,,12-Jul-15
TRADING,205.93,,205.93,205.93,205.93,0,,15-Jul-15
TRADING,202.39,,202.39,202.39,202.39,0,,16-Jul-15
TRADING,202.88,,202.88,202.88,202.88,0,,22-Jul-15
TRADING,206.34,,206.34,206.34,206.34,0,,30-Jul-15
TRADING,212,,212,212,212,0,,02-Aug-15
TRADING,206.51,,206.51,206.51,206.51,0,,17-Aug-15
TRADING,206.99,,206.99,206.99,206.99,0,,03-Sep-15
TRADING,207.97,,207.97,207.97,207.97,0,,29-Sep-15
TRADING,207.97,,207.97,207.97,207.97,0,,15-Dec-15
TRADING,207.97,,207.97,207.97,207.97,0,,27-Dec-15
TRADING,211.52,,211.52,211.52,211.52,0,,03-Jan-16
TRADING,211.43,,211.43,211.43,211.43,0,,05-Jan-16
TRADING,209.91,,209.91,209.91,209.91,0,,06-Jan-16
TRADING,198.85,,198.85,198.85,198.85,0,,07-Jan-16
TRADING,201.38,,201.38,201.38,201.38,0,,14-Jan-16
TRADING,201.38,,201.38,201.38,201.38,0,,06-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,07-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,08-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,12-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,13-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,19-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,20-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,22-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,26-Jun-16
TRADING,201.38,,201.38,201.38,201.38,0,,27-Jun-16
TRADING,202.79,,202.79,202.79,201.38,96750,,28-Jun-16
TRADING,202.79,,202.79,202.79,202.79,0,,29-Jun-16
TRADING,202.79,,202.79,202.79,202.79,0,,30-Jun-16
TRADING,202.79,,202.79,202.79,202.79,0,,03-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,04-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,05-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,06-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,11-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,12-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,13-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,14-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,17-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,18-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,19-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,20-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,21-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,21-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,26-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,27-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,28-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,31-Jul-16
TRADING,202.79,,202.79,202.79,202.79,0,,01-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,02-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,03-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,07-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,08-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,08-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,09-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,10-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,11-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,14-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,16-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,17-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,22-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,23-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,24-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,28-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,28-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,29-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,30-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,31-Aug-16
TRADING,202.79,,202.79,202.79,202.79,0,,01-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,04-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,05-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,06-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,07-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,08-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,11-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,12-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,18-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,18-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,20-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,21-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,21-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,22-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,25-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,28-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,29-Sep-16
TRADING,202.79,,202.79,202.79,202.79,0,,02-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,03-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,04-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,06-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,16-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,17-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,19-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,20-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,23-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,24-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,25-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,26-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,27-Oct-16
TRADING,202.79,,202.79,202.79,202.79,0,,03-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,07-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,08-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,09-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,10-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,13-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,14-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,15-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,16-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,17-Nov-16
TRADING,202.79,,202.79,202.79,202.79,0,,20-Nov-16
TRADING,203.91,,203.91,203.35,202.79,266445,,21-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,22-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,23-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,24-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,27-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,28-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,29-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,30-Nov-16
TRADING,203.91,,203.91,203.91,203.91,0,,01-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,04-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,05-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,06-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,07-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,08-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,11-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,12-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,14-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,15-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,18-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,19-Dec-16
TRADING,203.91,,203.91,203.91,203.91,0,,20-Dec-16
TRADING,205.03,,205.03,204.47,203.91,8507,,21-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,22-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,26-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,27-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,28-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,29-Dec-16
TRADING,205.03,,205.03,205.03,205.03,0,,01-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,02-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,03-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,04-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,05-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,08-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,09-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,10-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,11-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,12-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,15-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,16-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,17-Jan-17
TRADING,205.03,,205.03,205.03,205.03,0,,18-Jan-17
TRADING,206.16,,206.16,205.6,205.03,26485,,19-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,22-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,23-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,24-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,25-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,26-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,30-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,31-Jan-17
TRADING,206.16,,206.16,206.16,206.16,0,,01-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,02-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,05-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,06-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,07-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,08-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,09-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,12-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,13-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,14-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,15-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,16-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,19-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,20-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,21-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,22-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,23-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,26-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,28-Feb-17
TRADING,206.16,,206.16,206.16,206.16,0,,01-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,02-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,05-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,06-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,07-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,09-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,13-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,14-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,15-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,16-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,19-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,20-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,21-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,22-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,23-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,26-Mar-17
TRADING,206.16,,206.16,206.16,206.16,0,,28-Mar-17
TRADING,207.84,,207.84,206.72,206.16,4299920,,29-Mar-17
TRADING,207.84,,207.84,207.84,207.84,0,,30-Mar-17
TRADING,207.84,,207.84,207.84,207.84,0,,02-Apr-17
